seed,intimidation,night,coats_offered,ordinary_visitors,orders_total,cash,reputation,military,plaque,threats_total,phase
1,False,1,1,5,0,242,-4,0,False,0,shop_resolution
1,False,2,1,5,0,225,-8,8,False,0,shop_resolution
1,False,3,0,3,0,236,-8,8,False,0,shop_resolution
1,False,4,1,3,0,324,-8,8,False,0,shop_resolution
1,False,5,0,4,0,300,-12,16,False,0,shop_resolution
1,False,6,1,4,0,339,-12,16,False,0,shop_resolution
1,False,7,2,5,1,312,-14,22,False,0,shop_resolution
1,False,8,3,6,2,322,-20,36,True,0,shop_resolution
1,False,9,0,5,2,225,-24,36,True,0,shop_resolution
1,False,10,0,5,2,187,-28,36,True,0,shop_resolution
1,True,1,1,5,0,242,-4,0,False,0,shop_resolution
1,True,2,1,5,0,225,-8,8,False,0,shop_resolution
1,True,3,0,3,0,236,-8,8,False,0,shop_resolution
1,True,4,1,3,0,324,-8,8,False,0,shop_resolution
1,True,5,0,4,0,300,-12,16,False,0,shop_resolution
1,True,6,1,4,0,339,-12,16,False,0,shop_resolution
1,True,7,2,5,1,312,-14,22,False,0,shop_resolution
1,True,8,3,6,2,328,-26,36,True,6,shop_resolution
1,True,9,0,5,2,197,-37,36,True,11,shop_resolution
1,True,10,0,5,2,165,-46,36,True,16,shop_resolution
2,False,1,0,5,0,250,-4,0,False,0,shop_resolution
2,False,2,2,5,0,180,-8,8,False,0,shop_resolution
2,False,3,0,2,0,240,-8,8,False,0,shop_resolution
2,False,4,0,2,0,311,-10,8,False,0,shop_resolution
2,False,5,2,5,1,382,-16,22,False,0,shop_resolution
2,False,6,1,5,1,337,-18,22,False,0,shop_resolution
2,False,7,1,5,1,329,-20,22,False,0,shop_resolution
2,False,8,0,5,1,200,-24,30,True,0,shop_resolution
2,False,9,3,5,2,197,-30,36,True,0,shop_resolution
2,False,10,1,5,2,138,-34,36,True,0,shop_resolution
2,True,1,0,5,0,250,-4,0,False,0,shop_resolution
2,True,2,2,5,0,180,-8,8,False,0,shop_resolution
2,True,3,0,2,0,240,-8,8,False,0,shop_resolution
2,True,4,0,2,0,311,-10,8,False,0,shop_resolution
2,True,5,2,5,1,382,-16,22,False,0,shop_resolution
2,True,6,1,5,1,337,-18,22,False,0,shop_resolution
2,True,7,1,5,1,329,-20,22,False,0,shop_resolution
2,True,8,0,5,1,165,-31,30,True,5,shop_resolution
2,True,9,3,5,2,165,-42,36,True,10,shop_resolution
2,True,10,1,5,2,56,-53,36,True,15,shop_resolution
3,False,1,0,5,0,280,-2,0,False,0,shop_resolution
3,False,2,0,5,0,194,-8,8,False,0,shop_resolution
3,False,3,0,1,0,240,-8,8,False,0,shop_resolution
3,False,4,1,5,0,235,-12,8,False,0,shop_resolution
3,False,5,1,5,0,246,-16,16,False,0,shop_resolution
3,False,6,0,4,0,159,-20,16,False,0,shop_resolution
3,False,7,0,5,0,305,-26,16,False,0,shop_resolution
3,False,8,0,5,0,305,-32,24,False,0,shop_resolution
3,False,9,2,5,1,405,-38,30,True,0,shop_resolution
3,False,10,5,5,2,453,-44,36,True,0,shop_resolution
3,True,1,0,5,0,280,-2,0,False,0,shop_resolution
3,True,2,0,5,0,194,-8,8,False,0,shop_resolution
3,True,3,0,1,0,240,-8,8,False,0,shop_resolution
3,True,4,1,5,0,235,-12,8,False,0,shop_resolution
3,True,5,1,5,0,246,-16,16,False,0,shop_resolution
3,True,6,0,4,0,159,-20,16,False,0,shop_resolution
3,True,7,0,5,0,305,-26,16,False,0,shop_resolution
3,True,8,0,5,0,305,-32,24,False,0,shop_resolution
3,True,9,2,5,1,405,-38,30,True,0,shop_resolution
3,True,10,5,5,2,457,-49,36,True,5,shop_resolution
5,False,1,2,5,0,288,-4,0,False,0,shop_resolution
5,False,2,0,5,0,145,-10,8,False,0,shop_resolution
5,False,3,1,2,0,172,-10,8,False,0,shop_resolution
5,False,4,0,4,0,133,-14,8,False,0,shop_resolution
5,False,5,0,5,0,137,-16,16,False,0,shop_resolution
5,False,6,0,5,0,28,-20,16,False,0,shop_resolution
5,False,7,3,4,1,89,-24,22,False,0,shop_resolution
5,False,8,0,5,1,0,-26,30,True,0,shop_resolution
5,False,9,2,5,1,0,-26,30,True,0,shop_resolution
5,True,1,2,5,0,288,-4,0,False,0,shop_resolution
5,True,2,0,5,0,145,-10,8,False,0,shop_resolution
5,True,3,1,2,0,172,-10,8,False,0,shop_resolution
5,True,4,0,4,0,133,-14,8,False,0,shop_resolution
5,True,5,0,5,0,137,-16,16,False,0,shop_resolution
5,True,6,0,5,0,28,-20,16,False,0,shop_resolution
5,True,7,3,4,1,89,-24,22,False,0,shop_resolution
5,True,8,0,5,1,1,-31,30,True,5,shop_resolution
5,True,9,2,5,1,0,-36,30,True,10,shop_resolution
5,True,10,1,5,1,0,-41,30,True,15,shop_resolution
8,False,1,0,5,0,243,-2,0,False,0,shop_resolution
8,False,2,0,5,0,200,-6,8,False,0,shop_resolution
8,False,3,0,2,0,68,-8,8,False,0,shop_resolution
8,False,4,0,4,0,0,-12,8,False,0,shop_resolution
8,False,5,0,3,0,0,-12,8,False,0,shop_resolution
8,True,1,0,5,0,243,-2,0,False,0,shop_resolution
8,True,2,0,5,0,200,-6,8,False,0,shop_resolution
8,True,3,0,2,0,68,-8,8,False,0,shop_resolution
8,True,4,0,4,0,0,-12,8,False,0,shop_resolution
8,True,5,0,3,0,0,-12,8,False,0,shop_resolution
13,False,1,0,5,0,303,-6,0,False,0,shop_resolution
13,False,2,2,5,0,258,-8,8,False,0,shop_resolution
13,False,3,1,3,0,198,-10,8,False,0,shop_resolution
13,False,4,0,4,0,178,-14,8,False,0,shop_resolution
13,False,5,1,3,0,41,-18,16,False,0,shop_resolution
13,False,6,2,5,1,58,-22,22,False,0,shop_resolution
13,False,7,0,3,1,20,-24,22,False,0,shop_resolution
13,False,8,0,5,1,269,-24,30,True,0,shop_resolution
13,False,9,0,5,1,166,-30,30,True,0,shop_resolution
13,False,10,3,5,2,236,-36,36,True,0,shop_resolution
13,True,1,0,5,0,303,-6,0,False,0,shop_resolution
13,True,2,2,5,0,258,-8,8,False,0,shop_resolution
13,True,3,1,3,0,198,-10,8,False,0,shop_resolution
13,True,4,0,4,0,178,-14,8,False,0,shop_resolution
13,True,5,1,3,0,41,-18,16,False,0,shop_resolution
13,True,6,2,5,1,58,-22,22,False,0,shop_resolution
13,True,7,0,3,1,20,-24,22,False,0,shop_resolution
13,True,8,0,5,1,197,-33,30,True,5,shop_resolution
13,True,9,0,5,1,142,-44,30,True,10,shop_resolution
13,True,10,3,5,2,217,-55,36,True,15,shop_resolution
21,False,1,0,5,0,252,-4,0,False,0,shop_resolution
21,False,2,0,6,0,0,-10,8,False,0,shop_resolution
21,False,3,0,2,0,87,-12,8,False,0,shop_resolution
21,False,4,1,5,0,70,-14,8,False,0,shop_resolution
21,False,5,0,4,0,166,-16,16,False,0,shop_resolution
21,False,6,0,5,0,156,-16,16,False,0,shop_resolution
21,False,7,1,4,0,195,-20,16,False,0,shop_resolution
21,False,8,0,5,0,293,-22,24,False,0,shop_resolution
21,False,9,0,5,0,239,-24,24,False,0,shop_resolution
21,False,10,0,5,0,201,-26,24,False,0,shop_resolution
21,True,1,0,5,0,252,-4,0,False,0,shop_resolution
21,True,2,0,6,0,0,-10,8,False,0,shop_resolution
21,True,3,0,2,0,87,-12,8,False,0,shop_resolution
21,True,4,1,5,0,70,-14,8,False,0,shop_resolution
21,True,5,0,4,0,166,-16,16,False,0,shop_resolution
21,True,6,0,5,0,156,-16,16,False,0,shop_resolution
21,True,7,1,4,0,195,-20,16,False,0,shop_resolution
21,True,8,0,5,0,293,-22,24,False,0,shop_resolution
21,True,9,0,5,0,239,-24,24,False,0,shop_resolution
21,True,10,0,5,0,201,-26,24,False,0,shop_resolution
34,False,1,1,5,0,243,-2,0,False,0,shop_resolution
34,False,2,0,5,0,305,-6,8,False,0,shop_resolution
34,False,3,0,2,0,267,-8,8,False,0,shop_resolution
34,False,4,0,4,0,239,-12,8,False,0,shop_resolution
34,False,5,0,4,0,181,-18,16,False,0,shop_resolution
34,False,6,0,4,0,196,-22,16,False,0,shop_resolution
34,False,7,0,5,0,198,-24,16,False,0,shop_resolution
34,False,8,2,4,0,236,-30,24,False,0,shop_resolution
34,False,9,0,5,0,238,-36,24,False,0,shop_resolution
34,False,10,1,5,1,331,-40,30,True,0,shop_resolution
34,True,1,1,5,0,243,-2,0,False,0,shop_resolution
34,True,2,0,5,0,305,-6,8,False,0,shop_resolution
34,True,3,0,2,0,267,-8,8,False,0,shop_resolution
34,True,4,0,4,0,239,-12,8,False,0,shop_resolution
34,True,5,0,4,0,181,-18,16,False,0,shop_resolution
34,True,6,0,4,0,196,-22,16,False,0,shop_resolution
34,True,7,0,5,0,198,-24,16,False,0,shop_resolution
34,True,8,2,4,0,236,-30,24,False,0,shop_resolution
34,True,9,0,5,0,238,-36,24,False,0,shop_resolution
34,True,10,1,5,1,331,-40,30,True,0,shop_resolution
42,False,1,3,5,0,195,-6,0,False,0,shop_resolution
42,False,2,1,5,1,257,-12,14,False,0,shop_resolution
42,False,3,1,3,1,254,-14,14,False,0,shop_resolution
42,False,4,1,4,1,222,-18,14,False,0,shop_resolution
42,False,5,0,5,1,17,-24,22,False,0,shop_resolution
42,False,6,0,4,1,55,-28,22,False,0,shop_resolution
42,False,7,2,4,2,321,-30,28,False,0,shop_resolution
42,False,8,1,4,2,280,-32,36,True,0,shop_resolution
42,False,9,0,5,2,199,-36,36,True,0,shop_resolution
42,False,10,2,5,3,213,-40,42,True,0,shop_resolution
42,True,1,3,5,0,195,-6,0,False,0,shop_resolution
42,True,2,1,5,1,257,-12,14,False,0,shop_resolution
42,True,3,1,3,1,254,-14,14,False,0,shop_resolution
42,True,4,1,4,1,222,-18,14,False,0,shop_resolution
42,True,5,0,5,1,17,-24,22,False,0,shop_resolution
42,True,6,0,4,1,55,-28,22,False,0,shop_resolution
42,True,7,2,4,2,321,-30,28,False,0,shop_resolution
42,True,8,1,4,2,281,-36,36,True,4,shop_resolution
42,True,9,0,5,2,206,-45,36,True,9,shop_resolution
42,True,10,2,5,3,194,-56,42,True,14,shop_resolution
55,False,1,0,5,0,303,-4,0,False,0,shop_resolution
55,False,2,0,5,0,125,-10,8,False,0,shop_resolution
55,False,3,0,1,0,114,-10,8,False,0,shop_resolution
55,False,4,0,4,0,139,-16,8,False,0,shop_resolution
55,False,5,1,4,0,47,-22,16,False,0,shop_resolution
55,False,6,1,3,0,99,-24,16,False,0,shop_resolution
55,False,7,0,5,0,89,-24,16,False,0,shop_resolution
55,False,8,1,5,1,41,-28,30,True,0,shop_resolution
55,False,9,1,5,1,62,-32,30,True,0,shop_resolution
55,False,10,1,5,1,9,-36,30,True,0,shop_resolution
55,True,1,0,5,0,303,-4,0,False,0,shop_resolution
55,True,2,0,5,0,125,-10,8,False,0,shop_resolution
55,True,3,0,1,0,114,-10,8,False,0,shop_resolution
55,True,4,0,4,0,139,-16,8,False,0,shop_resolution
55,True,5,1,4,0,47,-22,16,False,0,shop_resolution
55,True,6,1,3,0,99,-24,16,False,0,shop_resolution
55,True,7,0,5,0,89,-24,16,False,0,shop_resolution
55,True,8,1,5,1,13,-34,30,True,4,shop_resolution
55,True,9,1,5,1,4,-45,30,True,9,shop_resolution
55,True,10,1,5,1,18,-54,30,True,14,shop_resolution
89,False,1,0,5,0,246,-6,0,False,0,shop_resolution
89,False,2,0,4,0,229,-8,8,False,0,shop_resolution
89,False,3,0,2,0,240,-8,8,False,0,shop_resolution
