Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org

ERROR: Condition "ret != noErr" is true. Returning: ""
   at: get_system_ca_certificates (platform/macos/os_macos.mm:1014)
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1770
NIGHT 14 CASH 1760
NIGHT 15 CASH 1750
NIGHT 16 CASH 1740
SETTLED return NIGHT 17
NIGHT 17 CASH 1580
NIGHT 18 CASH 1570
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1770
NIGHT 14 CASH 1760
SETTLED pay NIGHT 15
NIGHT 15 CASH 1450
NIGHT 16 CASH 1440
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1890
NIGHT 14 CASH 1880
SETTLED sell_pay NIGHT 15
NIGHT 15 CASH 1570
NIGHT 16 CASH 1560
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
SETTLED decline NIGHT 13
NIGHT 13 CASH 1570
NIGHT 14 CASH 1560
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1770
NIGHT 14 CASH 1760
NIGHT 15 CASH 1750
NIGHT 16 CASH 1740
SETTLED holding_pay NIGHT 17
NIGHT 17 CASH 1280
NIGHT 18 CASH 1270
RECOVERY ROUTES: 2146 passes, 0 failures
