Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org

ERROR: Condition "ret != noErr" is true. Returning: ""
   at: get_system_ca_certificates (platform/macos/os_macos.mm:1014)
NIGHT 1 CASH 219
NIGHT 2 CASH 208
NIGHT 3 CASH 219
NIGHT 4 CASH 227
NIGHT 5 CASH 158
NIGHT 6 CASH 342
NIGHT 7 CASH 367
NIGHT 8 CASH 363
NIGHT 9 CASH 278
NIGHT 10 CASH 305
NIGHT 11 CASH 295
NIGHT 12 CASH 250
NIGHT 13 CASH 142
NIGHT 14 CASH 234
NIGHT 15 CASH 84
NIGHT 16 CASH 74
NIGHT 17 CASH 64
NIGHT 18 CASH 201
NIGHT 19 CASH 164
NIGHT 20 CASH 312
SETTLED natural NIGHT 21
NIGHT 21 CASH 113
NIGHT 22 CASH 63
RECOVERY ROUTES: 521 passes, 0 failures
