Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org

ERROR: Failed to read the root certificate store.
   at: get_system_ca_certificates (platform/windows/os_windows.cpp:2570)
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1770
NIGHT 14 CASH 1760
NIGHT 15 CASH 1750
NIGHT 16 CASH 1740
SETTLED return NIGHT 17
NIGHT 17 CASH 1580
NIGHT 18 CASH 1570
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1770
NIGHT 14 CASH 1760
SETTLED pay NIGHT 15
NIGHT 15 CASH 1450
NIGHT 16 CASH 1440
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1890
NIGHT 14 CASH 1880
SETTLED sell_pay NIGHT 15
NIGHT 15 CASH 1570
NIGHT 16 CASH 1560
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
SETTLED decline NIGHT 13
NIGHT 13 CASH 1570
NIGHT 14 CASH 1560
NIGHT 1 CASH 1990
NIGHT 2 CASH 1980
NIGHT 3 CASH 1970
NIGHT 4 CASH 1960
NIGHT 5 CASH 1950
NIGHT 6 CASH 1940
NIGHT 7 CASH 1930
NIGHT 8 CASH 1920
NIGHT 9 CASH 1910
NIGHT 10 CASH 1900
NIGHT 11 CASH 1890
NIGHT 12 CASH 1880
NIGHT 13 CASH 1770
NIGHT 14 CASH 1760
NIGHT 15 CASH 1750
NIGHT 16 CASH 1740
SETTLED holding_pay NIGHT 17
NIGHT 17 CASH 1280
NIGHT 18 CASH 1270
NIGHT 1 CASH 219
NIGHT 2 CASH 208
NIGHT 3 CASH 219
NIGHT 4 CASH 227
NIGHT 5 CASH 158
NIGHT 6 CASH 342
NIGHT 7 CASH 367
NIGHT 8 CASH 363
NIGHT 9 CASH 278
NIGHT 10 CASH 305
NIGHT 11 CASH 295
NIGHT 12 CASH 250
NIGHT 13 CASH 142
NIGHT 14 CASH 234
NIGHT 15 CASH 84
NIGHT 16 CASH 74
NIGHT 17 CASH 64
NIGHT 18 CASH 201
NIGHT 19 CASH 164
NIGHT 20 CASH 312
SETTLED natural NIGHT 21
NIGHT 21 CASH 113
NIGHT 22 CASH 63
NIGHT 1 CASH 219
NIGHT 2 CASH 208
NIGHT 3 CASH 219
NIGHT 4 CASH 227
NIGHT 5 CASH 158
NIGHT 6 CASH 342
NIGHT 7 CASH 367
NIGHT 8 CASH 363
NIGHT 9 CASH 278
NIGHT 10 CASH 305
NIGHT 11 CASH 295
NIGHT 12 CASH 250
NIGHT 13 CASH 142
NIGHT 14 CASH 234
NIGHT 15 CASH 84
NIGHT 16 CASH 74
NIGHT 17 CASH 64
NIGHT 18 CASH 201
NIGHT 19 CASH 164
NIGHT 20 CASH 312
NIGHT 21 CASH 313
SETTLED natural_pay NIGHT 22
NIGHT 22 CASH 61
NIGHT 23 CASH 275
RECOVERY ROUTES: 3151 passes, 0 failures
